sku,qtd,descricao,parceira,atlas,tecnico,data,movimento,sap,id_tecnico,modalidade,responsavel,cat_material,observacao,modelo
F4E84FABF290,,GPON 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001560,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL GPON ONT WIFI F6645P
F4E84FABF362,,GPON 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001560,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL GPON ONT WIFI F6645P
F4E84FABE3EA,,GPON 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001560,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL GPON ONT WIFI F6645P
216909263350,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001276,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
246025656986,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001234,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
216736517792,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001276,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
246101494657,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001234,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
216411456270,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001276,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
226038785865,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001234,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
216562129606,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001276,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
246295408396,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001234,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
216336881316,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001276,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
246107004757,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001234,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
F6,25,F6,MISCELANEA,MISCELANEA,LEANDRO,25/08/2025 07:47:00,ENTREGA,22026189,76,VT,MARCELO,CRITICO,DIGITEC FTZ,CONEC_RI COMPRESSAO F-6
FO,10,FO,MISCELANEA,MISCELANEA,LEANDRO,25/08/2025 07:47:00,ENTREGA,22057620,76,VT,MARCELO,CRITICO,DIGITEC FTZ,CONECTOR FO CAMPO FAST SC/APC
F8F53253BDC0,,,,,WEVERTON,25/08/2025 07:47:50,DEVOLUCAO,,106,ADS,RENATO,,DIGITEC FTZ,
14CA56D25D7D,,GPON 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,WEVERTON,25/08/2025 07:47:59,DEVOLUCAO,41001590,106,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL GPON ONT WIFI6 F6600P-NACIONAL
C4509CBE6614,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,WEVERTON,25/08/2025 07:48:03,DEVOLUCAO,41001513,106,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 TC3102 32X8
582FF7173300,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,WEVERTON,25/08/2025 07:48:06,DEVOLUCAO,41001504,106,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 FAST3895
FIXA PT,100,FIXA PT,MISCELANEA,MISCELANEA,DEMERIO,25/08/2025 07:49:17,ENTREGA,22057635,13,ADS,IARLEY,CRITICO,DIGITEC FTZ,FIXADOR FIO PT RG6
VASELINA,1,VASELINA,MISCELANEA,MISCELANEA,DEMERIO,25/08/2025 07:49:20,ENTREGA,22025049,13,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,VASELINA SOLIDA POTE 410G
ALTA FUSAO,1,ALTA FUSAO,MISCELANEA,MISCELANEA,DEMERIO,25/08/2025 07:49:23,ENTREGA,22056332,13,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,FITA AUTO-FUSAO 23LB 19X10MM 3M NET
8401123733E0,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JEAN,25/08/2025 07:53:49,DEVOLUCAO,41001486,68,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
6802B8DF951A,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JEAN,25/08/2025 07:53:53,DEVOLUCAO,41001485,68,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CH8568
8CFDDE87AF53,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JEAN,25/08/2025 07:53:57,DEVOLUCAO,41001504,68,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 FAST3895
A0FF70D2E564,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,DOUGLAS,25/08/2025 07:53:57,DEVOLUCAO,41001482,89,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIPEMTA WIFI 3.1 CGA4233CLB
8c444fb8f15e,,DUAL,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,DOUGLAS,25/08/2025 07:53:57,DEVOLUCAO,41001292,89,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,HUMAX HGB10R-02
B4F267498333,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,MARCELINO,25/08/2025 07:55:52,DEVOLUCAO,41001485,32,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CH8568
c85d38f0971d,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,MARCELINO,25/08/2025 07:56:56,DEVOLUCAO,41001481,32,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 HGJ310
216620538392,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCOS,25/08/2025 07:57:15,ENTREGA,41001276,82,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
226294512630,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCOS,25/08/2025 07:57:20,ENTREGA,41001234,82,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
216696312646,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCOS,25/08/2025 07:57:31,ENTREGA,41001276,82,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
226274688204,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCOS,25/08/2025 07:57:33,ENTREGA,41001234,82,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
246317024154,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCOS,25/08/2025 07:57:45,ENTREGA,41001234,82,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
10E17778E2F2,,,,,JEFERSON,25/08/2025 07:58:20,DEVOLUCAO,,99,RETIRADA,IARLEY,,DIGITEC FTZ,
A8705D76DD9B,,,,,JEFERSON,25/08/2025 07:58:24,DEVOLUCAO,,99,RETIRADA,IARLEY,,DIGITEC FTZ,
216732009596,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCOS,25/08/2025 07:58:26,ENTREGA,41001276,82,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
104121228000,,,,,JEFERSON,25/08/2025 07:58:28,DEVOLUCAO,,99,RETIRADA,IARLEY,,DIGITEC FTZ,
10a79330ef4b,,,,,JEFERSON,25/08/2025 07:58:54,DEVOLUCAO,,99,RETIRADA,IARLEY,,DIGITEC FTZ,
DC5193DACAD2,,WIFI MESH,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCELINO,25/08/2025 07:59:58,ENTREGA,41001605,32,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL MESH EXTENSOR WIFI 6 Z1320
226346062734,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,DOUGLAS,25/08/2025 08:00:02,ENTREGA,41001234,89,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
216872624858,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,DOUGLAS,25/08/2025 08:00:03,ENTREGA,41001276,89,ADS,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD HNB100 2T
6802B8506249,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001485,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CH8568
9877E703028B,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001486,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
506F0C3AB82F,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001504,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 FAST3895
104121256D50,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001518,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL DOCSIS 3.1 WIFI HI3120
D86C5A670141,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001481,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 HGJ310
D4B92F2C436C,,DUAL,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001294,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TECHNICOLOR TC7337NET
3C82C06B105C,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001513,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 TC3102 32X8
F820D2079258,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001520,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL DOCSIS 3.1 32X8 EMTA WIF TG3442
F820D2057BFD,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,JOSE EDUARDO,25/08/2025 08:00:38,DEVOLUCAO,41001520,28,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL DOCSIS 3.1 32X8 EMTA WIF TG3442
9C2472307A9E,,,,,LUCAS,25/08/2025 08:00:56,DEVOLUCAO,,104,RETIRADA,IARLEY,,DIGITEC FTZ,
4CD08A3F1C68,,,,,LUCAS,25/08/2025 08:01:02,DEVOLUCAO,,104,RETIRADA,IARLEY,,DIGITEC FTZ,
24E4CED993BF,,WIFI MESH,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCELINO,25/08/2025 08:01:33,ENTREGA,41001567,32,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL EXTENSOR WIFI5 MESH AR2180T
DC5193DADB06,,WIFI MESH,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,MARCELINO,25/08/2025 08:01:37,ENTREGA,41001605,32,ADS,RENATO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL MESH EXTENSOR WIFI 6 Z1320
